account_id,cluster_id,cluster_size,confidence_tier,dominant_signal,linking_values
A001394,C00001,6,CERTAIN,email_alias,email_alias=tsmith@gmail.com; name=smith tyler
A002118,C00001,6,CERTAIN,email_alias,email_alias=tsmith@gmail.com; name=smith tyler
A003871,C00001,6,CERTAIN,email_alias,email_alias=tsmith@gmail.com; name=smith tyler
A004992,C00001,6,CERTAIN,email_alias,email_alias=tsmith@gmail.com; name=smith tyler
A008904,C00001,6,CERTAIN,email_alias,email_alias=tsmith@gmail.com; name=smith tyler
A012395,C00001,6,CERTAIN,email_alias,email_alias=tsmith@gmail.com; name=smith tyler
A001661,C00002,3,CERTAIN,email_alias,email_alias=markjones@gmail.com; name=jones mark
A005620,C00002,3,CERTAIN,email_alias,email_alias=markjones@gmail.com; name=jones mark
A007178,C00002,3,CERTAIN,email_alias,email_alias=markjones@gmail.com; name=jones mark
A005265,C00003,3,CERTAIN,email_alias,email_alias=kmyers@gmail.com; name=karen myers
A006264,C00003,3,CERTAIN,email_alias,email_alias=kmyers@gmail.com; name=karen myers
A013950,C00003,3,CERTAIN,email_alias,email_alias=kmyers@gmail.com; name=karen myers
A000052,C00004,2,CERTAIN,email_alias,email_alias=christopherlyons@gmail.com; name=christopher lyons
A014120,C00004,2,CERTAIN,email_alias,email_alias=christopherlyons@gmail.com; name=christopher lyons
A000126,C00005,2,CERTAIN,email_alias,email_alias=christinethompson@gmail.com; name=christine thompson
A002223,C00005,2,CERTAIN,email_alias,email_alias=christinethompson@gmail.com; name=christine thompson
A000214,C00006,2,CERTAIN,email_alias,email_alias=cpalmer@gmail.com; name=christopher palmer
A013671,C00006,2,CERTAIN,email_alias,email_alias=cpalmer@gmail.com; name=christopher palmer
A000359,C00007,2,CERTAIN,email_alias,email_alias=anitajohnson@gmail.com; name=anita johnson
A003215,C00007,2,CERTAIN,email_alias,email_alias=anitajohnson@gmail.com; name=anita johnson
A000360,C00008,2,CERTAIN,email_alias,email_alias=swilliams@gmail.com; name=shelby williams
A003495,C00008,2,CERTAIN,email_alias,email_alias=swilliams@gmail.com; name=shelby williams
A000499,C00009,2,CERTAIN,email_alias,email_alias=shawnmoore@gmail.com; name=moore shawn
A014757,C00009,2,CERTAIN,email_alias,email_alias=shawnmoore@gmail.com; name=moore shawn
A000662,C00010,2,CERTAIN,email_alias,email_alias=stephanie_brown@gmail.com; name=brown stephanie
A011002,C00010,2,CERTAIN,email_alias,email_alias=stephanie_brown@gmail.com; name=brown stephanie
A000755,C00011,2,CERTAIN,email_alias,email_alias=shawn_jones@gmail.com; name=jones shawn
A009958,C00011,2,CERTAIN,email_alias,email_alias=shawn_jones@gmail.com; name=jones shawn
A001290,C00012,2,CERTAIN,email_alias,email_alias=joshuamiller@gmail.com; name=joshua miller
A012118,C00012,2,CERTAIN,email_alias,email_alias=joshuamiller@gmail.com; name=joshua miller
A001324,C00013,2,CERTAIN,email_alias,email_alias=sarahnichols@gmail.com; name=nichols sarah
A010888,C00013,2,CERTAIN,email_alias,email_alias=sarahnichols@gmail.com; name=nichols sarah
A001369,C00014,2,CERTAIN,email_alias,email_alias=wthompson@gmail.com; name=thompson william
A003579,C00014,2,CERTAIN,email_alias,email_alias=wthompson@gmail.com; name=thompson william
A001563,C00015,2,CERTAIN,email_alias,email_alias=maryjames@gmail.com; name=james mary
A010950,C00015,2,CERTAIN,email_alias,email_alias=maryjames@gmail.com; name=james mary
A001984,C00016,2,CERTAIN,email_alias,email_alias=patriciarice@gmail.com; name=patricia rice
A011276,C00016,2,CERTAIN,email_alias,email_alias=patriciarice@gmail.com; name=patricia rice
A002193,C00017,2,CERTAIN,email_alias,email_alias=david_rodriguez@gmail.com; name=david rodriguez
A008561,C00017,2,CERTAIN,email_alias,email_alias=david_rodriguez@gmail.com; name=david rodriguez
A002347,C00018,2,CERTAIN,email_alias,email_alias=jessicajohnston@gmail.com; name=jessica johnston
A005174,C00018,2,CERTAIN,email_alias,email_alias=jessicajohnston@gmail.com; name=jessica johnston
A002397,C00019,2,CERTAIN,email_alias,email_alias=sarahschmidt@gmail.com; name=sarah schmidt
A010050,C00019,2,CERTAIN,email_alias,email_alias=sarahschmidt@gmail.com; name=sarah schmidt
A002909,C00020,2,CERTAIN,email_alias,email_alias=jordan_baker@gmail.com; name=baker jordan
