account_id,signup_ts,full_name,email,phone,addr_line1,addr_line2,city,state,zip,ip_address,payment_bin,card_last4,device_hash,user_agent
A000001,2026-03-25 00:13:26,Brandi Robinson,brandi_robinson@outlook.com,(577) 676-2256,9288 Kent Ave,,Port Daniel,LA,85318,104.29.154.211,453245,3188,d_13e0ad1624999c,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:139.0) Gecko/20100101 Firefox/139.0
A000002,2026-03-17 03:29:09,Steven Rodriguez,stevenrodriguez75@aol.com,1-460-967-1187,5960 LONG AVE.,Apt 2A,New James,NJ,14717-2764,174.85.181.214,,,,"Mozilla/5.0 (iPad; CPU OS 18_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4 Mobile/15E148 Safari/604.1"
A000003,2026-04-26 11:18:20,Lance Rogers,lancerogers@gmail.com,1-862-417-7104,9759 Wilson Ave,,Bowmanfort,PA,37459,205.254.166.183,542418,6898,d_3b69339ec7d222,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36"
A000004,2026-05-03 03:11:21,Angela Johnson,ajohnson@icloud.com,491-581-7067,8919 Stokes Boul evard,Suite 26,Eatonport,TX,81062-9802,96.40.144.61,,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1"
A000005,2026-04-07 15:05:57,Patrick Carter,patrickcarter@icloud.com,,2303 Rowe Ln,Apt 13,Millermouth,FL,18120,72.5.201.222,374245,0730,,"Mozilla/5.0 (Linux; Android 15; Pixel 8) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36"
A000006,2026-04-05 17:31:30,Kara Snyder,snyderk456@gmail.com,,91 03 NORTHEAST RODRIGUEZ RD.,,Thomasstad,SC,63245,104.28.112.130,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36"
A000007,2026-05-19 17:40:44,Sarah Horton,sarahhorton@aol.com,+17424678127,1256 Zuniga Rd,Apt 31,Lake Lacey,NH,69913,104.28.164.131,400022,3183,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Safari/605.1.15"
A000008,2026-03-19 06:00:58,Philip Perez,philipperez37@gmail.com,,8850 W Morris Rd,Apt 31,Zacharyfort,MA,52094,205.117.151.122,400022,6108,d_be427fe19f9933,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:139.0) Gecko/20100101 Firefox/139.0
A000009,2026-03-21 18:17:12,Michelle Hoover,michellehoover71@gmail.com,1-309-537-8787,9210 Green Ct.,,Fullermouth,ND,98815-5099,205.121.25.247,483316,7412,d_85a639fc53906f,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:139.0) Gecko/20100101 Firefox/139.0
A000010,2026-04-30 01:42:55,Jason Novak III,jasoniii38@gmail.com,1-778-809-7584,4283 Express Ln.,Apt 148-178,Sarasota,FL,34249,72.57.170.84,,,d_0836b97e7e7154,"Mozilla/5.0 (Linux; Android 15; Pixel 8) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36"
A000011,2026-03-25 23:39:05,Gabriel Baker,gabrielbaker70@gmail.com,,4865 Roberts Rd Ste 35,,Lake Alyssa,IN,68481-6851,66.66.162.180,483316,4342,d_5938e6d453d742,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
A000012,2026-03-18 05:49:18,Jenny Ruiz,li9v75tn1n@mozmail.com,947-260-8188,1016 Bruce Ct,Apt 23,Jamesport,AL,22366,205.96.12.215,426684,0628,d_df87959f759bea,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Safari/605.1.15"
A000013,2026-05-26 21:29:55,Mr. Willie Miller,mr.miller@outlook.com,365.370.3495,1321 Cohen Ct,,New Lisamouth,NH,50086,98.126.34.25,453245,9295,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Safari/605.1.15"
A000014,2026-05-22 13:29:39,Sharon Carter,sharoncarter@gmail.com,+15462027045,8226 Mcgee Blvd,Apt 28,Lauriemouth,NY,92876,98.104.233.138,,,d_e446344a2f5e1a,"Mozilla/5.0 (Linux; Android 15; Pixel 8) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36"
A000015,2026-03-23 18:18:10,Donald Brennan,brennand321@gmail.com,,5401 Wise Ln,Apt 28,Port Joe,AS,54896,174.6.117.208,,,d_28a32c784df90d,"Mozilla/5.0 (Linux; Android 15; Pixel 8) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36"
A000016,2026-05-04 22:14:32,Kristine Smith,kristine_smith@outlook.com,,1874 Nguyen Pl,,South Stevenmouth,NV,84137,174.90.20.229,453245,0109,d_6c3d50b3680334,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Safari/605.1.15"
A000017,2026-05-10 07:18:48,John Johnson,jjohnson@hotmail.com,(906) 311-7015,8752 Jackson St,,Mariahbury,AK,27318,63.6.59.236,,,,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:139.0) Gecko/20100101 Firefox/139.0
A000018,2026-04-30 00:53:10,Rodney Miller,millerr939@gmail.com,,7605 Hart Blvd,Apt 7D,Milesstad,LA,72796,184.240.194.11,,,d_f132bfe19cbcf7,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1"
A000019,2026-03-15 00:15:46,Sarah Clarke DDS,sarah.dds@gmail.com,(404) 943-6882,6997 Reed Blvd,,West Maryshire,NJ,25942,209.28.141.53,426684,7244,,"Mozilla/5.0 (iPad; CPU OS 18_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4 Mobile/15E148 Safari/604.1"
A000020,2026-03-14 11:47:15,David Smith,smithd380@outlook.com,7507603439,9022 Johnson Dr,Apt 6D,West Vincenthaven,TN,63254,184.107.79.218,426684,9146,,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:139.0) Gecko/20100101 Firefox/139.0
